episode,timestep,reward
790,239195,62.315724257068716
791,239377,62.2477214299137
792,239593,62.20252041379049
793,239830,62.17282334914379
794,240000,62.105057744458776
795,240176,62.03961953470708
796,240384,61.977155381405716
797,240567,61.91826773203681
798,240800,61.878152336728846
799,241037,61.84234966750807
800,241382,61.823600270723894
801,241693,61.80472988661486
802,242087,61.830056404549175
803,242293,61.77455261994681
804,242466,61.708529534891944
805,242648,61.6538765373105
806,242832,61.59086916202772
807,242979,61.5221576287789
808,243207,61.482609813561545
809,243438,61.43259844941974
810,244048,61.415201204829536
811,244255,61.35484227537741
812,244535,61.32593147377311
813,244729,61.28519534224201
814,245065,61.314204719442856
815,245275,61.27848568044228
816,245522,61.24725985740889
817,245719,61.19933195446125
818,245938,61.156119191045384
819,246197,61.13411219056236
820,246386,61.07546380184013
821,246624,61.03349028328618
822,246790,60.97069548176935
823,246987,60.914474136498455
824,247129,60.83123493473995
825,247374,60.79274543965139
826,247595,60.75517350395075
827,247762,60.69637951353739
828,247963,60.64093983001479
829,248221,60.617461936336426
830,248383,60.54367209457497
831,248597,60.501540099868514
832,248829,60.469411557300795
833,249041,60.4201430891099
834,249205,60.36245595336406
835,249437,60.347946563501566
836,249805,60.386559065074216
837,250001,60.34309873740598
838,250156,60.276011901944244
839,250681,60.38799149897201
840,250981,60.392383183447095
841,251293,60.369613551099135
842,251458,60.30169397273885
843,251686,60.24360765483088
844,252000,60.252926658182574
845,252196,60.20274942576065
846,252401,60.16160575157205
847,252644,60.14203913126716
848,253070,60.15972397650189
849,253321,60.13776879879192
850,253529,60.10124527842951
851,253757,60.048816622720395
852,253995,60.01064438950296
853,254174,59.95782253799121
854,254550,59.96527710773368
855,254739,59.92152865075169
856,255006,59.932883757454455
857,255227,59.89766078275048
858,255420,59.837798888506015
859,255621,59.79913125249793
860,255876,59.78338705161402
861,256055,59.72646622153639
862,256228,59.668188345301765
863,256419,59.617282969393436
864,256810,59.641031036049114
865,257179,59.65950630385492
866,257425,59.620651667070845
867,257704,59.61128577527295
868,258228,59.703349733352326
869,258391,59.64528749008697
870,258897,59.63206268751284
871,259099,59.582494238038095
872,259320,59.534089290254364
873,259603,59.51135142299665
874,259816,59.466515833862275
875,259999,59.41880855858121
876,260584,59.51156029701322
877,260856,59.4953327841983
